"Code","Département","Nom","Latitude","Longitude","Altitude"
"05077402","05","COL AGNEL-NIVOSE",44.686,6.972167,2630
"05079001","05","LE MONETIER LES BAINS",44.9715,6.514167,1459
"05079400","05","SERRE CHE-LE MONETIER_NIVO",44.949833,6.501,2185
"05079402","05","GALIBIER-NIVOSE",45.056833,6.377167,2559
"05085001","05","MONTGENEVRE",44.9305,6.721333,1848
"05085403","05","MONTGENEVRE_NIVO",44.938167,6.7195,2134
"05090001","05","MOTTE-DALMAS",44.730833,6.066167,1100
"05090002","05","MOTTE-MOLINES",44.748167,6.122833,1250
"05093001","05","NEVACHE-EDF-03",45.0185,6.622333,1603
"05096404","05","ORCIERES-NIVOSE",44.719,6.333667,2280
"05098001","05","LES ORRES",44.508833,6.559333,1457
"05098402","05","LES ORRES_NIVO",44.481667,6.562833,1895
"05101001","05","PELVOUX",44.866833,6.486667,1270
"05101400","05","PELVOUX ST ANTOINE",44.870833,6.487167,1270
"05110001","05","PUY-ST-VINCENT",44.828833,6.492667,1388
"05110400","05","PUY ST VINCENT_NIVO",44.818,6.485833,1680
"05114002","05","REALLON ISCLE",44.608333,6.338333,1429
"05114402","05","REALLON _NIVO",44.579333,6.352333,1716
"05118002","05","RIBIERS-GRANGE",44.198167,5.881167,530
"05118003","05","RIBIERS",44.2355,5.855,520
"05119402","05","RISOUL_NIVO",44.616667,6.644167,2050
"05120002","05","RISTOLAS",44.765667,6.9845,1670
"05126001","05","ROSANS",44.3875,5.462167,625
"05127001","05","ROUSSET",44.468667,6.2685,675
"05132001","05","ST-BONNET CHAMPSAUR",44.684167,6.072833,1005
"05132002","05","ST BONNET",44.685,6.08,1015
"05133400","05","SERRE CHE-CHANTEMERLE_NIVO",44.9245,6.571333,1905
"05136002","05","ST CREPIN",44.7045,6.6,906
"05139002","05","ST ETIENNE-EN-DEVOLUY",44.6945,5.9405,1300
"05139006","05","AGNIERES-EN-DEVOLUY",44.696167,5.880833,1244
"05139400","05","St Etienne en Devoluy",44.69,5.937667,1281
"05139405","05","Super_Devoluy",44.6655,5.906667,1915
"05142001","05","ST FIRMIN",44.7825,6.035,935
"05145002","05","ST JEAN-ST-NICOLAS",44.670833,6.209833,1210
"05157001","05","ST VERAN",44.6925,6.868667,2000
"05157400","05","ST VERAN RM",44.705167,6.867833,2140
"05158001","05","LE SAIX",44.475833,5.8155,801
"05166001","05","SERRES",44.421667,5.710167,652
"05170001","05","TALLARD",44.452167,6.033333,593
"05179001","05","VEYNES",44.536333,5.840667,823
"05181002","05","VILLAR D'ARENE",45.030833,6.361667,1665
"05182001","05","VILLAR LOUBIERE",44.826833,6.146,1072
